epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,22047.7,0.92989,0.40117,1.00961,0.9791,0.96082,0.97927,0.72973,1.03459,0.35285,1.04146,0.006436,0.006436,0.006436
110,22249.7,0.92395,0.39897,1.00285,0.97817,0.95953,0.979,0.72954,1.0346,0.35325,1.04159,0.006403,0.006403,0.006403
111,22451.8,0.92731,0.40193,1.00484,0.98266,0.95517,0.97961,0.72989,1.03471,0.35244,1.04133,0.00637,0.00637,0.00637
112,22653.8,0.92278,0.39778,1.00657,0.97853,0.96036,0.97977,0.73077,1.0348,0.35092,1.04133,0.006337,0.006337,0.006337
113,22855.9,0.91829,0.39426,1.01008,0.98682,0.95034,0.97851,0.72969,1.03561,0.34999,1.04176,0.006304,0.006304,0.006304
114,23057.9,0.92296,0.39623,1.0038,0.97724,0.95865,0.9792,0.73039,1.03531,0.34979,1.04111,0.006271,0.006271,0.006271
115,23260.1,0.92042,0.39868,1.00715,0.97728,0.96033,0.97945,0.72858,1.03624,0.3503,1.04225,0.006238,0.006238,0.006238
116,23462.1,0.91513,0.39154,1,0.97639,0.96078,0.97921,0.72902,1.03687,0.34875,1.04234,0.006205,0.006205,0.006205
117,23664.1,0.92806,0.39867,1.01031,0.97996,0.95535,0.97863,0.72744,1.03741,0.34863,1.04313,0.006172,0.006172,0.006172
118,23866.2,0.91279,0.39402,1.00403,0.98175,0.95558,0.97875,0.72798,1.03819,0.34873,1.04339,0.006139,0.006139,0.006139
119,24068.1,0.91228,0.39027,0.99924,0.99017,0.95034,0.97926,0.72786,1.03902,0.34807,1.04282,0.006106,0.006106,0.006106
120,24270.1,0.91395,0.39417,1.00955,0.98956,0.94983,0.97933,0.72842,1.04053,0.34815,1.04373,0.006073,0.006073,0.006073
121,24471.9,0.91698,0.39434,1.00709,0.98182,0.96036,0.98001,0.72821,1.04097,0.34791,1.04418,0.00604,0.00604,0.00604
122,24674.1,0.90863,0.39244,1.00395,0.98206,0.96036,0.97976,0.72758,1.04025,0.3467,1.04352,0.006007,0.006007,0.006007
123,24876.1,0.90476,0.3909,1.0005,0.98318,0.95863,0.97952,0.72811,1.03942,0.34682,1.0433,0.005974,0.005974,0.005974
124,25078,0.90587,0.39091,1.00078,0.98363,0.95835,0.97975,0.72811,1.04016,0.34688,1.0437,0.005941,0.005941,0.005941
125,25279.9,0.899,0.38731,1.00264,0.98316,0.95747,0.97904,0.72789,1.04076,0.34637,1.04474,0.005908,0.005908,0.005908
126,25481.9,0.90939,0.39066,1.00162,0.97991,0.95763,0.97851,0.72686,1.04221,0.34618,1.04559,0.005875,0.005875,0.005875
127,25683.8,0.89618,0.38663,0.99278,0.98014,0.95672,0.97819,0.72599,1.04267,0.34669,1.04577,0.005842,0.005842,0.005842
128,25885.7,0.89635,0.38609,0.99213,0.97814,0.95793,0.97827,0.72702,1.04263,0.34598,1.04528,0.005809,0.005809,0.005809
129,26087.5,0.8923,0.38459,0.99533,0.9801,0.95581,0.97838,0.72598,1.04299,0.34528,1.04516,0.005776,0.005776,0.005776
130,26289.5,0.89488,0.3812,0.99105,0.98083,0.95546,0.9787,0.72701,1.04276,0.34506,1.04483,0.005743,0.005743,0.005743
131,26491.6,0.89431,0.38124,0.99305,0.98217,0.95382,0.97866,0.72746,1.04336,0.34637,1.04453,0.00571,0.00571,0.00571
132,26693.6,0.89929,0.3877,0.99256,0.98246,0.95444,0.97869,0.72711,1.04223,0.346,1.04363,0.005677,0.005677,0.005677
133,26895.5,0.89342,0.38508,0.99282,0.9823,0.95535,0.97929,0.72785,1.04227,0.34681,1.04358,0.005644,0.005644,0.005644
134,27097.4,0.89001,0.38097,0.99323,0.98221,0.95567,0.97923,0.72749,1.04302,0.34628,1.04404,0.005611,0.005611,0.005611
135,27299.3,0.88182,0.38087,0.98707,0.98132,0.95763,0.97899,0.72714,1.04411,0.34613,1.04389,0.005578,0.005578,0.005578
136,27501.5,0.88453,0.38188,0.99189,0.97992,0.95763,0.97875,0.72681,1.04422,0.34523,1.04377,0.005545,0.005545,0.005545
137,27703.5,0.88446,0.3805,0.98778,0.98039,0.95854,0.97878,0.72774,1.04353,0.34451,1.04367,0.005512,0.005512,0.005512
138,27905.4,0.88535,0.37966,0.9951,0.98085,0.95672,0.97831,0.72784,1.04351,0.34409,1.04407,0.005479,0.005479,0.005479
139,28107.2,0.88078,0.37865,0.99338,0.98144,0.95718,0.97836,0.72782,1.04419,0.34445,1.04448,0.005446,0.005446,0.005446
140,28309.1,0.87639,0.38006,0.99111,0.97994,0.95809,0.97807,0.72751,1.04427,0.34393,1.04484,0.005413,0.005413,0.005413
141,28510.9,0.87171,0.37559,0.9874,0.98081,0.95854,0.97863,0.72767,1.04514,0.34371,1.04574,0.00538,0.00538,0.00538
142,28712.9,0.88587,0.37681,0.98477,0.98108,0.95809,0.97844,0.7274,1.04494,0.34278,1.0456,0.005347,0.005347,0.005347
143,28914.8,0.87385,0.37345,0.9839,0.98078,0.95718,0.97816,0.72742,1.045,0.34311,1.0458,0.005314,0.005314,0.005314
144,29116.7,0.86501,0.37226,0.97872,0.98042,0.95811,0.9785,0.72709,1.04499,0.34359,1.04569,0.005281,0.005281,0.005281
145,29318.7,0.85999,0.36725,0.98155,0.98046,0.95854,0.97864,0.7272,1.04534,0.34344,1.04591,0.005248,0.005248,0.005248
146,29520.6,0.86523,0.3678,0.97745,0.97999,0.95941,0.97838,0.72705,1.04556,0.34345,1.04578,0.005215,0.005215,0.005215
147,29722.8,0.8673,0.37053,0.98793,0.97907,0.959,0.97803,0.72644,1.04559,0.343,1.04575,0.005182,0.005182,0.005182
148,29924.7,0.86353,0.36996,0.98084,0.97998,0.9587,0.97852,0.72656,1.04564,0.34262,1.04572,0.005149,0.005149,0.005149
149,30126.8,0.85844,0.36763,0.97936,0.97913,0.95809,0.97826,0.7272,1.04572,0.34209,1.04599,0.005116,0.005116,0.005116
150,30328.8,0.86217,0.36793,0.98229,0.97952,0.95877,0.97838,0.72739,1.04537,0.34216,1.04593,0.005083,0.005083,0.005083
